id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3510544,Agoura Hills Private Room ,17675084,Marlene,,Agoura Hills,34.16636397666929,-118.74870279925906,Private room,80,1,26,2016-04-23,1.29,1,364
7586620,Super Nice  Room 20min to Malibu,39431398,Eloisa,,Agoura Hills,34.14407308023951,-118.74241934036947,Private room,55,1,9,2016-03-23,0.97,1,363
683355,one bedroom with  shared bath.,3159697,Tam,,Agoura Hills,34.14939297634711,-118.78755738049773,Private room,55,2,25,2015-11-29,0.59,4,352
8295931,Parisian large apartment,43126477,Rhiannon,,Agoura Hills,34.14885624481192,-118.75933867224526,Entire home/apt,129,2,3,2016-03-01,0.76,1,365
4093938,Peaceful Modern Retreat Home,20984194,Jeremy,,Agoura Hills,34.15445495917184,-118.73926979297073,Entire home/apt,350,2,33,2016-04-23,1.74,2,25
3175657,Nice California King Size bed,5433968,Maryam,,Agoura Hills,34.14939924862702,-118.76920235840836,Private room,75,2,7,2016-03-18,0.34,2,356
5798058,Lovely room with a view ,3159697,Tam,,Agoura Hills,34.150508622479336,-118.78746884848293,Private room,62,1,1,2015-05-10,0.08,4,359
10973343,Large room with great view,56933714,Shirley,,Agoura Hills,34.150273771815314,-118.76808264355262,Private room,75,1,11,2016-03-20,4.18,1,0
12627455,jakes place,68561716,Robert,,Agoura Hills,34.13925262092859,-118.73597022048492,Entire home/apt,600,1,0,,,1,365
6513704,Nice bedroom with shared bath,3159697,Tam,,Agoura Hills,34.15103579901806,-118.7876664556459,Private room,55,1,4,2016-03-29,0.51,4,276
10576630,"Single Story House, Private Bd & Ba",54546599,Sean & Corinne,,Agoura Hills,34.15075682526282,-118.78700574826675,Private room,55,2,1,2016-04-07,1,1,29
5059964,Charming House on A Cul-de-sac,26128286,David,,Agoura Hills,34.15303233232593,-118.78732186515758,Private room,80,1,7,2016-04-01,0.47,1,363
9778002,Comfortable room with shared bath,3159697,Tam,,Agoura Hills,34.151034425554755,-118.7874396145467,Private room,55,2,1,2016-01-08,0.26,4,361
6239043,Private Cal King right off Hwy 101*,32380257,Wendy,,Agoura Hills,34.14530973448761,-118.74200298605905,Private room,85,1,12,2016-03-21,0.99,3,365
10562543,"2B, 2 1/2Bath right off HWY 101",32380257,Wendy,,Agoura Hills,34.14544585833396,-118.74378566799106,Entire home/apt,300,1,0,,,3,365
