id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7402080,Garden Studio in Arbor Lodge,2023949,Anna,,Arbor Lodge,45.56912900804547,-122.69096771212078,Entire home/apt,46,2,27,2015-12-20,5.83,1,358
9682665,"Cozy Apt, 10 min to downtown PDX",22866272,Faye,,Arbor Lodge,45.56835584723572,-122.6841911544473,Entire home/apt,75,1,0,,,1,336
758814,"Between ""hip and home"" (and park)!",3493601,Sandi,,Arbor Lodge,45.57285650986187,-122.69398476899397,Private room,75,2,59,2015-11-07,1.55,1,365
9631880,Charming Hideway in Arbor Lodge,596414,Travis,,Arbor Lodge,45.568283294301175,-122.68782958176205,Private room,44,2,1,2015-12-08,1,1,245
6939076,Convenient Cape Cod Bungalow,711089,Abby,,Arbor Lodge,45.57286823539976,-122.68632888110949,Entire home/apt,165,2,0,,,1,308
9731376,Little Russian Art Studio,50214783,Bree,,Arbor Lodge,45.56842523689252,-122.68733226094605,Entire home/apt,65,3,0,,,1,363
4840908,Portland-Plush KING/Private Bath,12807678,Tanja,,Arbor Lodge,45.57234895754349,-122.68832750520123,Private room,49,1,117,2015-12-25,9.64,3,67
3230208,"3200' home -2 Kings, Queen, Single",12807678,Tanja,,Arbor Lodge,45.57287967871467,-122.68923270582385,Entire home/apt,240,2,11,2015-11-28,0.59,3,105
3755902,Fresh New Modern Apartment,847543,Stephani,,Arbor Lodge,45.56655701356319,-122.68613174189652,Entire home/apt,85,3,55,2015-12-30,4.58,2,362
8985911,"Brand New, Perfect Portland Pad",328095,Lisa & Stew,,Arbor Lodge,45.56766277340628,-122.68643865185092,Entire home/apt,100,2,5,2015-12-29,4.29,1,354
531232,Spacious basement bedroom,2609280,Marty,,Arbor Lodge,45.57707162508935,-122.6960628738501,Entire home/apt,70,2,48,2015-10-18,1.19,1,365
6536212,Overlook Neighborhood Craftsman,30848234,Ixel And Lori,,Arbor Lodge,45.56692174675657,-122.68228989490996,Private room,100,1,23,2015-10-27,3.63,1,360
4977675,Colorful Queen With a Private Bath,16017684,Jessie And Robert,,Arbor Lodge,45.566868670709326,-122.68448540822887,Private room,45,1,22,2015-11-11,2.32,1,179
9254568,The Craftsman on Curtis - 3bd Home,43717096,Ken,,Arbor Lodge,45.567880344690664,-122.69773333921914,Entire home/apt,104,1,2,2015-12-26,2,1,128
2569391,Portland-1000sf basement apt./queen,12807678,Tanja,,Arbor Lodge,45.572829207802904,-122.6888766140097,Entire home/apt,75,1,146,2015-12-30,7.03,3,74
3584939,1920's Charmer in Arbor Lodge,7097644,Kelly,,Arbor Lodge,45.57168160688113,-122.6960172983989,Entire home/apt,75,2,25,2015-11-27,1.44,1,363
1349072,Charming Arbor Lodge Bungalow,7319348,Ellen,,Arbor Lodge,45.573011255773345,-122.67944775296476,Entire home/apt,155,2,6,2013-08-31,0.21,1,23
8303220,Greeley Avenue Guest Room,26413800,Heather,,Arbor Lodge,45.5718739079969,-122.69525722889945,Private room,50,1,3,2015-10-17,1.02,1,363
67532,LGBT Friendly,333173,Kathy,,Arbor Lodge,45.57099939213224,-122.68367773356717,Private room,45,1,93,2015-10-04,1.55,1,365
9712130,"Quiet, central Portland jewel.",39022970,Edward,,Arbor Lodge,45.56843756809522,-122.68499069732607,Private room,125,1,0,,,1,365
2372181,Charming Room & Private Bath on Max,12118391,Devra,,Arbor Lodge,45.57251090893088,-122.68523393498195,Private room,60,1,30,2015-10-25,1.37,1,89
9209746,Peaceful Room with Reading Nook!,47898740,Josephine,,Arbor Lodge,45.57577857936313,-122.69693914247183,Private room,65,1,0,,,1,180
7309532,El Rancho,6010923,Nate,,Arbor Lodge,45.57102180716455,-122.6955630526277,Entire home/apt,100,3,0,,,1,72
7743660,Spacious Apartment in Arbor Lodge,20590539,Zach,,Arbor Lodge,45.56960819596304,-122.69311586861758,Entire home/apt,75,1,14,2015-11-27,3.02,1,213
477845,The Garden Room in Arbor Lodge,1391205,Clarissa,,Arbor Lodge,45.57318394325989,-122.6853617030063,Private room,55,2,68,2015-11-07,1.61,1,363
4483736,"Cozy, bright, spacious studio house",17225282,Jay,,Arbor Lodge,45.574104333853235,-122.690725201089,Entire home/apt,139,2,8,2015-07-27,0.60,1,202
1918952,"Leafy, Private First Floor Getaway ",4452894,Aaron & Alicia (& Sylvie & Elijah),,Arbor Lodge,45.57297774649451,-122.68878514272822,Entire home/apt,89,1,21,2015-11-18,0.92,1,30
7292504,Saratoga Sweetness: cozy & quiet.,36446072,Pamela,,Arbor Lodge,45.57294447654001,-122.6882270376268,Private room,42,2,14,2015-11-16,2.66,1,362
3220798,modern basement loft,15983140,Trent,,Arbor Lodge,45.576419302568326,-122.69857219443642,Entire home/apt,71,12,27,2015-08-28,1.42,1,330
3667598,Saratoga Guest Rm Downtown Portland,18602839,Lourds,,Arbor Lodge,45.57300913336028,-122.70121669934734,Private room,80,2,3,2015-07-19,0.48,1,365
2220926,Bright Vintage Modern Home,927820,Adam,,Arbor Lodge,45.56899544607758,-122.68715908113879,Entire home/apt,115,1,9,2015-12-25,0.48,1,181
213228,"Sweet 2 Room Suite, Private, Quiet",1099616,Abraham,,Arbor Lodge,45.56781291717655,-122.67923359982588,Private room,49,2,71,2015-09-24,1.36,2,352
5513323,Cozy Room in Historic NoPo Home,28598877,Ian,,Arbor Lodge,45.57469895288517,-122.68454434430275,Private room,50,1,40,2015-12-21,5.80,1,85
898771,The Rustic Modern Tiny House,64037,Michael And Jenna,,King,45.55482588867444,-122.6637043663941,Entire home/apt,120,2,133,2015-12-26,3.81,1,342
9199588,Your urban sanctuary in Portland,6231014,Jennifer,,King,45.551101483991374,-122.66390446291146,Private room,44,1,0,,,1,36
6674127,Grand Home in Historic Neighborhood,34784027,Ellen,,King,45.56462499576901,-122.66347812446968,Entire home/apt,290,5,1,2015-07-13,0.17,1,179
5763394,Cozy Room on Teensy Urban Farm,20045413,Cheryl,,King,45.56066559197143,-122.65433243282442,Private room,40,1,15,2015-12-06,1.60,1,301
7264533,Cozy Room in Alberta Arts,38033791,Jessica,,King,45.560757424123395,-122.65899881322436,Private room,45,1,7,2015-12-15,2.80,1,176
3369512,Alberta Arts District Craftsman ,795103,Bill,,King,45.558809152853236,-122.65636216202381,Private room,69,2,23,2015-03-10,1.30,1,363
8036201,Modern home Alberta Arts district,27241109,Carolyn,,King,45.56090568938975,-122.6548615667648,Private room,80,1,12,2015-11-15,2.88,1,358
3915593,Ensuite Queen Room; NE Alberta Arts,2200710,Laurent,,King,45.560730357859946,-122.65981516091145,Private room,41,2,8,2015-12-02,0.52,3,0
